scope,season,n_teams,pearson_r_age_efficiency,estimated_peak_age,estimated_peak_goals_per_shot,model_note
all_seasons,all,18,-0.5219803347451109,,,"The fitted quadratic peak lies outside the observed team-average age range (24.37-28.00), so the data does not support one exact optimal team-average age."
single_season,2425,18,-0.5219803347451109,,,"The fitted quadratic peak lies outside the observed team-average age range (24.37-28.00), so the data does not support one exact optimal team-average age."
